stage,MB,NB,KB,avg_ms,sd_ms,gflops
1,32,32,16,6.942986,0.155186,4.832853
1,32,32,32,7.088072,0.038396,4.733930
1,32,32,48,7.757466,0.170574,4.325437
1,32,32,64,9.438307,0.251422,3.555132
1,32,32,96,9.882021,0.143745,3.395503
1,32,32,128,11.189728,0.072186,2.998682
2,8,8,16,10.027452,0.147855,3.346257
2,8,16,16,8.341275,0.033781,4.022698
2,8,32,16,7.495040,0.073154,4.476885
2,8,48,16,7.266857,0.060981,4.617461
2,8,64,16,6.978918,0.044822,4.807971
2,16,8,16,11.391678,0.419146,2.945522
2,16,16,16,9.014081,0.095451,3.722446
2,16,32,16,7.767540,0.069909,4.319827
2,16,48,16,7.670177,0.147726,4.374662
2,16,64,16,7.869881,0.398650,4.263652
2,32,8,16,13.235561,0.883631,2.535173
2,32,16,16,10.200710,0.515134,3.289421
2,32,32,16,8.279883,0.211583,4.052525
2,32,48,16,7.834076,0.188522,4.283139
2,32,64,16,7.739862,0.133662,4.335275
2,48,8,16,12.019997,0.196674,2.791551
2,48,16,16,9.530327,0.127341,3.520806
2,48,32,16,8.601201,0.071346,3.901133
2,48,48,16,8.631869,0.614573,3.887273
2,48,64,16,8.106800,0.384950,4.139048
2,64,8,16,12.611127,0.135964,2.660701
2,64,16,16,10.162692,0.298990,3.301727
2,64,32,16,8.685387,0.280637,3.863320
2,64,48,16,8.021193,0.261110,4.183222
2,64,64,16,7.792176,0.131602,4.306170
2,8,8,32,10.743721,0.402388,3.123167
2,8,16,32,9.956563,0.488864,3.370082
2,8,32,32,8.632821,0.351437,3.886844
2,8,48,32,8.119899,0.229013,4.132370
2,8,64,32,7.737618,0.101184,4.336532
2,16,8,32,10.479657,0.113163,3.201864
2,16,16,32,9.409835,0.081856,3.565890
2,16,32,32,8.711198,0.027615,3.851873
2,16,48,32,9.247119,0.470214,3.628636
2,16,64,32,8.492663,0.071401,3.950991
2,32,8,32,10.895105,0.086372,3.079771
2,32,16,32,9.425976,0.079987,3.559783
2,32,32,32,8.530814,0.031770,3.933321
2,32,48,32,8.291937,0.116474,4.046634
2,32,64,32,8.071989,0.067441,4.156897
2,48,8,32,10.622200,0.109726,3.158897
2,48,16,32,9.216059,0.066705,3.640866
2,48,32,32,8.336247,0.129247,4.025125
2,48,48,32,8.222978,0.078501,4.080569
2,48,64,32,7.971256,0.051056,4.209428
2,64,8,32,10.634548,0.206519,3.155229
2,64,16,32,9.168970,0.048411,3.659564
2,64,32,32,8.335780,0.085682,4.025350
2,64,48,32,8.198847,0.117103,4.092579
2,64,64,32,8.006221,0.018205,4.191045
3,4,24,16,8.334014,0.075142,4.026203
3,4,32,16,8.152328,0.083436,4.115933
3,4,40,16,7.766742,0.038624,4.320271
3,4,40,32,8.088869,0.032910,4.148223
3,4,48,16,7.692363,0.123747,4.362045
3,4,48,32,8.112066,0.049685,4.136361
3,4,56,16,7.404537,0.036832,4.531604
3,4,56,32,7.936463,0.076383,4.227883
3,4,64,16,7.280563,0.016231,4.608769
3,4,64,32,7.901889,0.036798,4.246381
3,4,72,16,7.243617,0.037036,4.632276
3,4,72,32,7.799437,0.040147,4.302161
3,8,24,16,8.724756,0.282511,3.845888
3,8,32,16,8.209728,0.207478,4.087155
3,8,40,16,7.915580,0.088719,4.239037
3,8,40,32,8.209180,0.069445,4.087428
3,8,48,16,7.706509,0.078058,4.354038
3,8,48,32,7.989998,0.039422,4.199554
3,8,56,16,7.567015,0.082083,4.434302
3,8,56,32,7.922935,0.051276,4.235101
3,8,64,16,7.284775,0.068765,4.606104
3,8,64,32,7.809373,0.027303,4.296687
3,8,72,16,7.377276,0.037336,4.548350
3,8,72,32,7.894070,0.018840,4.250587
3,16,24,16,8.815609,0.126091,3.806252
3,16,32,16,8.362714,0.202570,4.012386
3,16,40,16,8.061638,0.026475,4.162235
3,16,40,32,8.233183,0.036736,4.075511
3,16,48,16,7.895820,0.140283,4.249645
3,16,48,32,8.253448,0.090658,4.065505
3,16,56,16,8.180054,0.200762,4.101982
3,16,56,32,8.211881,0.013620,4.086083
3,16,64,16,7.604802,0.164740,4.412269
3,16,64,32,7.733282,0.137831,4.338964
3,16,72,16,7.034726,0.190137,4.769828
3,16,72,32,8.411404,0.408144,3.989159
3,24,40,16,8.596485,0.104486,3.903273
3,24,48,16,7.875178,0.170260,4.260784
3,24,56,16,7.765582,0.176401,4.320917
3,24,56,32,8.003427,0.070681,4.192508
3,24,64,16,7.461279,0.011720,4.497142
3,24,64,32,8.010811,0.053046,4.188644
3,24,72,16,7.460175,0.010581,4.497808
3,24,72,32,7.910381,0.019202,4.241822
3,32,56,16,7.718269,0.016048,4.347404
3,32,56,32,8.075037,0.082387,4.155329
3,32,64,16,7.521331,0.018447,4.461236
3,32,64,32,7.872066,0.061741,4.262468
3,32,72,16,7.414967,0.067709,4.525230
3,32,72,32,7.887483,0.050973,4.254137
3,40,56,16,7.733068,0.017554,4.339084
3,40,56,32,7.965876,0.033352,4.212271
3,40,64,16,7.483031,0.049059,4.484070
3,40,64,32,7.927990,0.088398,4.232401
3,40,72,16,7.620194,0.201852,4.403357
3,40,72,32,7.940655,0.134153,4.225650
3,48,56,32,7.837059,0.041827,4.281508
3,48,64,32,7.710664,0.066704,4.351692
3,48,72,32,7.717182,0.022941,4.348016
3,56,56,32,7.772575,0.017491,4.317029
3,56,64,32,7.667782,0.050493,4.376028
3,56,72,32,7.754994,0.088986,4.326816
3,64,56,32,7.754150,0.011177,4.327287
3,64,64,32,7.684565,0.009590,4.366471
3,64,72,32,7.734028,0.145196,4.338546
3,72,56,32,7.807662,0.042154,4.297628
3,72,64,32,7.641626,0.038710,4.391007
3,72,72,32,7.654654,0.014917,4.383534
