stage,MB,NB,KB,avg_ms,sd_ms,gflops
1,32,32,16,51.510979,1.305466,0.651403
1,32,32,32,45.139916,0.266950,0.743343
1,32,32,48,43.206693,0.085681,0.776603
1,32,32,64,42.058186,0.280590,0.797810
1,32,32,96,43.237582,0.448229,0.776048
1,32,32,128,42.371718,0.785392,0.791906
2,8,8,64,45.457186,0.274069,0.738155
2,8,16,64,44.384914,0.369142,0.755987
2,8,32,64,42.360991,0.351238,0.792107
2,8,48,64,42.152978,0.367448,0.796016
2,8,64,64,42.196761,0.620175,0.795190
2,16,8,64,45.218725,0.356984,0.742047
2,16,16,64,45.190185,0.431440,0.742516
2,16,32,64,42.905171,0.205844,0.782060
2,16,48,64,42.921839,0.778111,0.781757
2,16,64,64,42.113402,0.634137,0.796764
2,32,8,64,46.498874,0.689143,0.721618
2,32,16,64,44.045951,0.519080,0.761805
2,32,32,64,42.724535,0.271764,0.785367
2,32,48,64,42.886286,0.398597,0.782405
2,32,64,64,42.242519,0.235368,0.794328
2,48,8,64,45.269220,0.407674,0.741220
2,48,16,64,44.467101,0.217775,0.754590
2,48,32,64,42.473535,0.426939,0.790008
2,48,48,64,41.762284,0.286093,0.803463
2,48,64,64,42.183021,0.152680,0.795449
2,64,8,64,46.104169,0.374412,0.727796
2,64,16,64,44.363909,0.344447,0.756345
2,64,32,64,44.734951,1.148539,0.750072
2,64,48,64,42.882854,0.526877,0.782467
2,64,64,64,42.605262,0.053137,0.787565
2,8,8,128,44.196685,0.221768,0.759207
2,8,16,128,42.765451,0.088849,0.784615
2,8,32,128,41.730126,0.347302,0.804082
2,8,48,128,42.343821,0.539765,0.792428
2,8,64,128,40.791149,0.148214,0.822591
2,16,8,128,41.955855,0.282092,0.799756
2,16,16,128,40.903730,0.122253,0.820327
2,16,32,128,40.811730,0.043752,0.822176
2,16,48,128,41.140880,0.426750,0.815598
2,16,64,128,40.875617,0.497594,0.820891
2,32,8,128,42.462593,0.562964,0.790212
2,32,16,128,40.488628,0.382499,0.828737
2,32,32,128,40.302986,0.534971,0.832554
2,32,48,128,40.462451,0.758927,0.829273
2,32,64,128,41.465168,0.529694,0.809220
2,48,8,128,42.403884,0.560524,0.791306
2,48,16,128,41.212807,0.334772,0.814175
2,48,32,128,40.587590,0.265229,0.826717
2,48,48,128,40.966557,0.310891,0.819069
2,48,64,128,40.948801,0.550422,0.819424
2,64,8,128,41.989342,0.219908,0.799118
2,64,16,128,40.543357,0.433178,0.827618
2,64,32,128,41.099871,0.395010,0.816412
2,64,48,128,41.903537,0.546512,0.800754
2,64,64,128,40.962601,0.434695,0.819148
3,4,40,64,40.686703,0.560499,0.824703
3,4,48,64,40.822870,0.251731,0.821952
3,4,56,64,40.649021,0.131364,0.825467
3,4,64,64,40.568590,0.213816,0.827104
3,4,72,64,41.173897,0.553401,0.814944
3,8,40,64,40.536995,0.137973,0.827748
3,8,48,64,40.337666,0.421341,0.831839
3,8,56,64,40.715249,0.197970,0.824124
3,8,64,64,40.472309,0.086905,0.829071
3,8,72,64,41.339624,0.734616,0.811677
3,16,40,64,40.521557,0.128713,0.828064
3,16,48,64,41.381191,0.978648,0.810862
3,16,56,64,41.216688,0.151087,0.814098
3,16,64,64,40.833337,0.435731,0.821741
3,16,72,64,40.910986,0.424173,0.820181
3,24,56,64,41.000476,0.382398,0.818391
3,24,64,64,40.335614,0.782188,0.831881
3,24,72,64,40.885102,0.031166,0.820701
3,40,40,64,40.826761,0.200414,0.821873
3,40,48,64,40.779676,0.397168,0.822822
3,40,56,64,40.616149,0.250135,0.826135
3,40,64,64,40.416258,0.253653,0.830221
3,40,72,64,40.721354,0.668723,0.824001
3,48,40,64,40.969800,0.526433,0.819004
3,48,48,64,40.814076,0.222541,0.822129
3,48,56,64,40.983322,0.450298,0.818734
3,48,64,64,40.387935,0.199296,0.830803
3,48,72,64,40.683378,0.618266,0.824770
3,56,40,64,40.747637,0.246268,0.823469
3,56,48,64,40.093425,0.244379,0.836906
3,56,56,64,40.273743,0.198205,0.833159
3,56,64,64,40.492005,0.459036,0.828668
3,56,72,64,40.625906,0.120624,0.825937
3,24,8,128,42.375904,0.249961,0.791828
3,24,16,128,40.846207,0.127975,0.821482
3,24,24,128,41.217308,0.689188,0.814086
3,24,32,128,40.483470,0.329765,0.828843
3,24,40,128,40.719218,0.111617,0.824044
3,24,48,128,48.826414,5.159781,0.687219
3,24,56,128,53.999681,0.584288,0.621382
3,32,8,128,56.216282,0.684849,0.596881
3,32,16,128,18.159184,1.562456,1.847794
3,32,24,128,16.939921,0.168195,1.980790
3,32,32,128,16.775037,0.189942,2.000260
3,32,40,128,16.655699,0.143415,2.014592
3,32,48,128,16.533885,0.055309,2.029434
3,32,56,128,16.499708,0.211128,2.033638
3,40,8,128,18.418213,0.223324,1.821807
3,40,16,128,17.182671,0.047056,1.952806
3,40,24,128,17.166077,0.166414,1.954694
3,40,32,128,17.374406,0.447344,1.931256
3,40,40,128,16.931163,0.255702,1.981815
3,40,48,128,16.853558,0.185225,1.990940
3,40,56,128,16.780280,0.068523,1.999635
3,48,24,128,17.213414,0.315851,1.949319
3,48,32,128,17.185071,0.229922,1.952534
3,48,40,128,16.673827,0.090777,2.012401
3,56,8,128,19.099568,0.307240,1.756816
3,56,16,128,17.497572,0.211809,1.917662
3,56,24,128,16.977519,0.214240,1.976404
3,56,32,128,16.987116,0.224744,1.975287
3,56,40,128,16.828660,0.155145,1.993886
3,64,8,128,18.712601,0.560999,1.793146
