stage,MB,NB,KB,avg_ms,sd_ms,gflops
1,32,32,16,974.8822119921291,2.3665513688780813,0.03441896014435732
1,32,32,32,857.8202346592055,1.061835873614919,0.039115925043818174
1,32,32,48,840.0533790118061,8.987737188392822,0.039943214131787246
1,32,32,64,816.752680654948,0.6804247795262313,0.04108273262487849
1,32,32,96,801.794073660858,2.4028236673514503,0.041849189339596964
1,32,32,128,787.7475910063367,4.757140498248815,0.042595410488192896
2,8,8,128,812.9675876795469,0.6901485295038206,0.04127400957739828
2,8,16,128,791.4647819998208,0.6355715989271481,0.04239535701792931
2,8,32,128,799.2926266645858,12.198652057172566,0.041980159556858694
2,8,48,128,804.2956760133771,2.053857266848396,0.041719025727351935
2,8,64,128,803.856622990376,2.7362440702645605,0.04174181196041688
2,16,8,128,806.603387997408,3.356875135101125,0.04159966657629242
2,16,16,128,795.7108903307623,5.886724625895164,0.04216912500223799
2,16,32,128,801.0679653283054,0.6112332427138032,0.04188712250682529
2,16,48,128,799.0382259983259,1.099341232475881,0.04199352535115173
2,16,64,128,806.8312989974705,6.687061226231736,0.04158791564196024
2,32,8,128,807.8725920058787,1.9064137551439073,0.04153431163778834
2,32,16,128,802.970564662246,7.547227243745828,0.041787873026346886
2,32,32,128,808.2534690038301,0.5896200732912291,0.041514739233171165
2,32,48,128,810.3822453219133,2.826624433968458,0.04140568502543014
2,32,64,128,813.5566236548281,1.2423879658317198,0.04124412613010243
2,48,8,128,816.6927573329303,9.25809493676618,0.04108574699447384
2,48,16,128,807.5577853305731,0.527873767177328,0.04155050277456557
2,48,32,128,797.1766336704604,2.3992452920109177,0.04209158997235592
2,48,48,128,797.4003599956632,4.973474801808824,0.04207978035046597
2,48,64,128,805.2773753297515,6.99236152723524,0.041668166805580324
2,64,8,128,821.4459140047742,3.4158244020342905,0.040848011327261874
2,64,16,128,813.9593893429264,4.679316280285502,0.04122371759491222
2,64,32,128,799.1280453182602,2.371572328853655,0.04198880541933256
2,64,48,128,804.0317716659047,0.5464595274635731,0.041732719007455725
2,64,64,128,806.4544070124006,2.676503806575648,0.041607351523201545
2,8,8,96,841.5808403418245,1.5581398515343607,0.03987071757286111
2,8,16,96,822.8863996628206,3.5712872619812694,0.040776505740949175
2,8,32,96,823.6681336711626,7.887960721221266,0.040737805225564444
2,8,48,96,813.7582946704546,10.166580475834346,0.041233904735297894
2,8,64,96,813.6527650155282,11.352626145290056,0.041239252716556096
2,16,8,96,834.8431786677489,2.198458532617324,0.04019249705501157
2,16,16,96,821.6067626684284,11.918667569459432,0.04084001437746368
2,16,32,96,832.2679866687395,3.210200914933786,0.040316860118945544
2,16,48,96,814.1475239826832,1.0747236444088664,0.041214191545847774
2,16,64,96,816.7090813318888,4.729761998269272,0.041084925791788
2,32,8,96,830.6670543291451,1.180848302876583,0.04039456220771737
2,32,16,96,822.9440423310734,4.146541596678246,0.04077364957276272
2,32,32,96,815.5826020035116,3.2085072179736134,0.04114167212195574
2,32,48,96,810.9697869901235,3.9063905933824206,0.04137568691003361
2,32,64,96,818.6486206638316,12.437170001312262,0.04098758753516392
2,48,8,96,827.0039726727797,10.344093390753516,0.040573483452027465
2,48,16,96,813.6768293334171,3.262794423298635,0.04123803307449293
2,48,32,96,816.8829569961721,2.760665253307224,0.04107618075836198
2,48,48,96,850.28279600859,6.881854451206213,0.03946267307478372
2,48,64,96,827.3220443322012,4.221041719616561,0.04055788459871694
2,64,8,96,842.8515413349184,5.087745002139987,0.03981060762712267
2,64,16,96,824.3554693375094,4.532186665529043,0.04070383863282415
2,64,32,96,828.814079335037,10.920739518618024,0.04048487210415265
2,64,48,96,835.0438516742239,8.336287131376057,0.04018283822187892
2,64,64,96,828.7870500062127,2.819904875402906,0.040486192442013264
3,4,8,128,884.5919176722722,64.16471683078005,0.03793210330057685
3,4,16,128,829.2527596640866,5.404710440640968,0.04046345533247573
3,4,24,128,811.8070736624455,7.695180046250381,0.04133301259450733
3,4,40,96,833.7006383420279,12.475597045285946,0.0402475786353353
3,4,48,96,817.9893276731794,4.1337770330685535,0.041020623209654376
3,4,56,96,817.5998873387774,0.7616579580121032,0.04104016221090368
3,4,64,96,829.1028686702097,11.275599025812852,0.04047077059788448
3,4,72,96,811.766405007802,2.1794921565848813,0.04133508333555329
3,8,8,128,838.2602219935507,14.11646841156282,0.040028658308753864
3,8,16,128,812.6388409970483,3.9613906101296106,0.041290706654915944
3,8,24,128,819.3643133272417,11.635412798942573,0.04095178598118768
3,8,40,96,818.0323239939753,2.0627821452024078,0.04101846713852731
3,8,40,128,808.8659726684758,5.6010631635918555,0.04148330271491432
3,8,48,96,836.1872676759958,25.780941784432176,0.040127891558618664
3,8,48,128,809.6987470053136,4.678169975332233,0.041440637180311456
3,8,56,96,813.8486490061041,3.75533881273626,0.04122932690369107
3,8,56,128,804.3419176732035,0.9888102999135646,0.041716627298333656
3,8,64,96,818.0551440066969,1.2593713380952591,0.041017322910110954
3,8,72,96,819.2210559888432,0.8427653416603608,0.040958947227617365
3,16,8,128,813.7923423394872,4.207555496933864,0.0412321795797904
3,16,16,128,803.7555423312975,6.4318824227232065,0.041747061429492825
3,16,24,128,809.2905636682796,2.531538809444169,0.04146153866901337
3,16,40,96,819.5292489933005,6.831121423962146,0.04094354416418675
3,16,40,128,806.6648896686578,1.1465537781652049,0.041596494938291755
3,16,48,96,827.8446279970618,4.319070142422918,0.04053228210368853
