algo,lang,model,impl,status,reps,iters_per_rep,mean_ms,sd_ms,median_ms,iqr_ms,speedup_mean,speedup_median,detail,params
bfs,cpp,baseline,seq,ok,5,20,63.0402,1.1284,62.4834,1.7131,1.0000,1.0000,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,cpp,claude-sonnet-4-5,par,ok,5,20,77.6096,6.6854,74.4966,12.6897,0.8123,0.8387,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,cpp,gemini-2-5-pro,par,ok,5,20,2231.6842,20.5966,2229.2787,41.0226,0.0282,0.0280,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,cpp,gpt-5,par,ok,5,20,86.3142,1.2318,86.0130,2.1068,0.7304,0.7264,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,csharp,baseline,seq,ok,5,20,179.0609,6.5131,181.4139,11.5956,1.0000,1.0000,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,csharp,claude-sonnet-4-5,par,ok,5,20,178.3094,5.3386,178.5809,10.3225,1.0042,1.0159,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,csharp,gemini-2-5-pro,par,ok,5,20,177.3134,6.4133,179.2802,11.9651,1.0099,1.0119,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,csharp,gpt-5,par,ok,5,20,14.9483,1.1128,14.7540,1.8717,11.9787,12.2959,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,go,baseline,seq,ok,5,20,188.7632,3.8783,187.7902,5.4960,1.0000,1.0000,,"{""graph_kind"":""complete"",""graph_size"":2000}"
bfs,go,claude-sonnet-4-5,par,ok,5,20,540.2552,2.7299,540.2143,4.3312,0.3494,0.3476,,"{""graph_kind"":""complete"",""graph_size"":2000}"
bfs,go,gemini-2-5-pro,par,ok,5,20,74.3313,2.2446,74.3250,3.9377,2.5395,2.5266,,"{""graph_kind"":""complete"",""graph_size"":2000}"
bfs,go,gpt-5,par,ok,5,20,20.3346,1.1363,19.8820,2.0876,9.2829,9.4452,,"{""graph_kind"":""complete"",""graph_size"":2000}"
bfs,java,baseline,seq,ok,5,20,962.2099,459.8698,981.8538,904.6708,1.0000,1.0000,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,java,claude-sonnet-4-5,par,ok,5,20,211.1743,14.0693,208.7360,21.9324,4.5565,4.7038,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,java,gemini-2-5-pro,par,failed_correctness,0,0,,,,,,,"fails BFS order test; previously published 30.05 ms, 19.41x","{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,java,gpt-5,par,failed_correctness,0,0,,,,,,,"fails BFS order test; previously published 182.62 ms, 3.19x","{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,python,baseline,seq,ok,5,20,1110.8033,7.8568,1110.6085,15.1046,1.0000,1.0000,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,python,claude-sonnet-4-5,par,ok,5,20,24594.7131,147.3063,24630.4155,273.8858,0.0452,0.0451,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,python,gemini-2-5-pro,par,ok,5,20,8323.7322,82.7228,8309.0346,138.6413,0.1335,0.1337,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,python,gpt-5,par,ok,5,20,26817.9604,369.8090,26744.2548,710.6179,0.0414,0.0415,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,rust,baseline,seq,ok,5,20,192.5436,4.0867,193.1524,6.1240,1.0000,1.0000,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,rust,gemini-2-5-pro,par,ok,5,20,192.6048,3.7357,193.5778,5.8406,0.9997,0.9978,,"{""graph_size"":2000,""graph_kind"":""complete""}"
bfs,rust,gpt-5,par,ok,5,20,23.6388,0.6705,23.9281,1.2066,8.1452,8.0722,,"{""graph_size"":2000,""graph_kind"":""complete""}"
gemm,cpp,baseline,seq,ok,5,5,1400.7849,10.3347,1397.3563,16.6437,1.0000,1.0000,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":32,""NB"":32,""KB"":16}"
gemm,cpp,claude-sonnet-4-5,par,ok,5,5,297.3311,19.0290,285.8684,35.7176,4.7112,4.8881,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":32,""NB"":32,""KB"":16}"
gemm,cpp,gemini-2-5-pro,par,ok,5,5,190.7768,9.2074,187.4798,16.2329,7.3425,7.4534,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":32,""NB"":32,""KB"":16}"
gemm,csharp,baseline,seq,ok,5,5,1798.4079,5.8573,1800.0001,9.2205,1.0000,1.0000,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":32,""NB"":32,""KB"":128}"
gemm,csharp,claude-sonnet-4-5,par,ok,5,5,534.1119,7.0486,534.1968,11.6335,3.3671,3.3695,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":32,""NB"":32,""KB"":128}"
gemm,csharp,gemini-2-5-pro,par,ok,5,5,560.5625,8.0364,562.7831,15.5318,3.2082,3.1984,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":32,""NB"":32,""KB"":128}"
gemm,csharp,gpt-5,par,ok,5,5,529.4109,6.0974,527.0594,11.3660,3.3970,3.4152,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":32,""NB"":32,""KB"":128}"
gemm,go,baseline,seq,ok,5,5,2487.4707,26.6563,2476.3161,42.6292,1.0000,1.0000,,"{""KB"":128,""MB"":32,""NB"":56,""k"":1024,""m"":1024,""n"":1024}"
gemm,go,claude-sonnet-4-5,par,ok,5,5,437.0400,6.7787,437.7727,12.4029,5.6916,5.6566,,"{""KB"":128,""MB"":32,""NB"":56,""k"":1024,""m"":1024,""n"":1024}"
gemm,go,gemini-2-5-pro,par,ok,5,5,273.4071,4.0894,273.9622,8.0531,9.0980,9.0389,,"{""KB"":128,""MB"":32,""NB"":56,""k"":1024,""m"":1024,""n"":1024}"
gemm,go,gpt-5,par,ok,5,5,373.3685,7.3790,370.4752,9.7637,6.6622,6.6842,,"{""KB"":128,""MB"":32,""NB"":56,""k"":1024,""m"":1024,""n"":1024}"
gemm,java,baseline,seq,ok,5,5,1225.7037,19.9729,1217.9374,29.3765,1.0000,1.0000,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":56,""NB"":72,""KB"":64}"
gemm,java,claude-sonnet-4-5,par,ok,5,5,137.0070,5.4393,134.8296,10.3854,8.9463,9.0332,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":56,""NB"":72,""KB"":64}"
gemm,java,gemini-2-5-pro,par,ok,5,5,362.1567,6.9228,361.2662,10.1703,3.3845,3.3713,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":56,""NB"":72,""KB"":64}"
gemm,java,gpt-5,par,ok,5,5,150.4542,14.6026,143.6497,20.9620,8.1467,8.4785,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":56,""NB"":72,""KB"":64}"
gemm,python,baseline,seq,ok,5,5,103092.9379,434.1592,103319.8698,757.2870,1.0000,1.0000,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":32,""NB"":32,""KB"":128}"
gemm,python,claude-sonnet-4-5,par,did_not_finish,0,0,,,,,,,ran ~6.7h then killed,"{""m"":1024,""n"":1024,""k"":1024}"
gemm,python,gemini-2-5-pro,par,did_not_finish,0,0,,,,,,,killed early; identical ProcessPoolExecutor pattern,"{""m"":1024,""n"":1024,""k"":1024}"
gemm,rust,baseline,seq,ok,5,5,3435.9556,129.6376,3409.0941,225.5926,1.0000,1.0000,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":32,""NB"":32,""KB"":64}"
gemm,rust,claude-sonnet-4-5,par,ok,5,5,323.2260,21.6765,316.9186,38.3328,10.6302,10.7570,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":32,""NB"":32,""KB"":64}"
gemm,rust,gemini-2-5-pro,par,build_failed,0,0,,,,,,,does not compile: `n1` not in scope,"{""m"":1024,""n"":1024,""k"":1024,""MB"":32,""NB"":32,""KB"":64}"
gemm,rust,gpt-5,par,ok,5,5,314.5143,15.3193,319.5256,28.6996,10.9246,10.6692,,"{""m"":1024,""n"":1024,""k"":1024,""MB"":32,""NB"":32,""KB"":64}"
sccs,cpp,baseline,seq,ok,5,20,128.7511,1.6421,129.2319,3.1751,1.0000,1.0000,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,cpp,claude-sonnet-4-5,par,ok,5,20,37.1381,4.3995,35.7362,6.5051,3.4668,3.6163,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,cpp,gemini-2-5-pro,par,ok,5,20,53.5477,6.0477,51.3372,8.2519,2.4044,2.5173,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,cpp,gpt-5,par,ok,5,20,33.1301,13.1055,28.5634,21.2912,3.8862,4.5244,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
sccs,csharp,baseline,seq,ok,5,20,42.2475,3.5450,40.9356,4.7000,1.0000,1.0000,,"{""graph_size"":100000,""cluster_size"":300,""no_cluster_in_group"":3}"
