stage,MB,NB,KB,avg_ms,sd_ms,gflops
1,32,32,16,106.375599,5.244339,0.315434
1,32,32,32,121.864193,3.130231,0.275343
1,32,32,48,111.407231,1.395031,0.301187
1,32,32,64,108.894937,0.474001,0.308136
1,32,32,96,107.464403,0.657202,0.312238
1,32,32,128,108.452250,1.564117,0.309394
2,8,8,16,122.063360,0.823362,0.274894
2,8,16,16,118.872378,4.570907,0.282273
2,8,32,16,107.695355,2.137097,0.311568
2,8,48,16,104.494257,0.581636,0.321113
2,8,64,16,104.075048,3.229654,0.322406
2,16,8,16,124.701604,5.018959,0.269078
2,16,16,16,112.377114,4.907144,0.298588
2,16,32,16,103.691324,0.357649,0.323599
2,16,48,16,109.558233,3.482721,0.306270
2,16,64,16,101.771489,0.663064,0.329704
2,32,8,16,121.698463,2.147763,0.275718
2,32,16,16,113.457535,4.514729,0.295744
2,32,32,16,102.303407,1.225133,0.327989
2,32,48,16,102.634363,0.933358,0.326932
2,32,64,16,103.654663,1.935247,0.323714
2,48,8,16,123.406984,2.929662,0.271901
2,48,16,16,116.297267,0.142351,0.288523
2,48,32,16,107.226968,2.167123,0.312929
2,48,48,16,108.004850,0.217839,0.310675
2,48,64,16,103.445131,0.775407,0.324369
2,64,8,16,126.705645,1.280869,0.264822
2,64,16,16,113.393766,2.033110,0.295911
2,64,32,16,106.285868,0.721777,0.315700
2,64,48,16,106.239509,0.630842,0.315838
2,64,64,16,104.548868,1.315004,0.320945
2,8,8,96,124.838307,1.133205,0.268783
2,8,16,96,120.542956,1.026517,0.278361
2,8,32,96,110.012672,1.987307,0.305005
2,8,48,96,109.321132,1.680661,0.306935
2,8,64,96,109.307112,2.150861,0.306974
2,16,8,96,122.487023,1.222327,0.273943
2,16,16,96,119.265787,1.055706,0.281342
2,16,32,96,110.508088,2.220713,0.303638
2,16,48,96,108.944974,0.465653,0.307994
2,16,64,96,110.017874,0.914583,0.304991
2,32,8,96,120.012605,0.753856,0.279591
2,32,16,96,121.614237,2.799824,0.275909
2,32,32,96,111.051950,0.421882,0.302151
2,32,48,96,110.450766,0.888657,0.303795
2,32,64,96,109.007068,1.032439,0.307819
2,48,8,96,121.472739,2.177735,0.276230
2,48,16,96,117.112531,2.282247,0.286514
2,48,32,96,109.662408,1.342221,0.305979
2,48,48,96,111.075307,1.220032,0.302087
