stage,MB,NB,KB,avg_ms,sd_ms,gflops
1,32,32,16,22.155053,0.537674,1.514527
1,32,32,32,19.831170,0.048500,1.692005
1,32,32,48,19.400157,0.013934,1.729596
1,32,32,64,19.539464,0.067221,1.717265
1,32,32,96,20.413214,0.066103,1.643760
1,32,32,128,23.065058,0.036218,1.454773
2,8,8,48,24.746423,0.179950,1.355931
2,8,16,48,21.320550,0.046777,1.573807
2,8,32,48,19.646884,0.109985,1.707875
2,8,48,48,19.115886,0.054699,1.755317
2,8,64,48,18.975706,0.443952,1.768284
2,16,8,48,24.392532,0.266141,1.375603
2,16,16,48,21.244797,0.155018,1.579419
2,16,32,48,19.311489,0.056983,1.737537
2,16,48,48,19.219455,0.057021,1.745858
2,16,64,48,18.570974,0.236252,1.806821
2,32,8,48,23.859712,0.222166,1.406322
2,32,16,48,20.988397,0.055491,1.598713
2,32,32,48,19.668237,0.311016,1.706021
2,32,48,48,20.035051,0.185884,1.674786
2,32,64,48,19.585237,0.139549,1.713251
2,48,8,48,25.401086,0.337930,1.320984
2,48,16,48,21.959695,0.121115,1.528001
2,48,32,48,20.907748,0.544920,1.604880
2,48,48,48,20.967503,0.633307,1.600307
2,48,64,48,20.693319,0.181846,1.621510
2,64,8,48,25.320476,0.138281,1.325190
2,64,16,48,22.185445,0.227530,1.512452
2,64,32,48,20.370574,0.118884,1.647201
2,64,48,48,19.946314,0.171270,1.682237
2,64,64,48,20.474498,0.410738,1.638840
2,8,8,64,25.446979,0.254827,1.318602
2,8,16,64,22.036410,0.078386,1.522681
2,8,32,64,20.405659,0.067801,1.644369
2,8,48,64,20.320067,0.138253,1.651295
2,8,64,64,19.683786,0.098223,1.704674
2,16,8,64,25.046694,0.181160,1.339675
2,16,16,64,22.252829,0.218627,1.507873
2,16,32,64,20.807273,0.302308,1.612630
2,16,48,64,20.225626,0.126393,1.659006
2,16,64,64,20.567110,0.591767,1.631461
2,32,8,64,24.799248,0.066288,1.353042
2,32,16,64,21.966597,0.131061,1.527521
2,32,32,64,20.447175,0.013804,1.641030
2,32,48,64,20.103754,0.032694,1.669063
2,32,64,64,19.702691,0.055052,1.703038
2,48,8,64,24.834217,0.288368,1.351137
2,48,16,64,21.846493,0.053125,1.535918
2,48,32,64,20.337044,0.137401,1.649917
2,48,48,64,20.029342,0.128159,1.675264
2,48,64,64,19.797569,0.084522,1.694876
2,64,8,64,24.713617,0.074520,1.357731
2,64,16,64,22.334082,0.399311,1.502387
2,64,32,64,20.271818,0.219525,1.655226
2,64,48,64,20.509633,0.322470,1.636033
2,64,64,64,19.722216,0.180610,1.701352
3,4,40,48,20.386211,0.162460,1.645938
3,4,48,48,20.110831,0.122585,1.668476
3,4,56,48,20.623369,0.127137,1.627010
3,4,64,48,21.231043,0.791378,1.580442
3,4,72,48,21.398015,1.045380,1.568110
3,8,24,48,22.233234,0.227402,1.509202
3,8,32,48,20.438101,0.027908,1.641759
3,8,40,48,20.762684,0.125616,1.616093
3,8,48,48,20.596506,0.317910,1.629132
3,8,56,48,20.501577,0.337796,1.636676
3,8,64,48,20.402234,0.089591,1.644645
3,8,72,48,19.751780,0.141094,1.698806
3,16,24,48,21.111679,0.052131,1.589378
3,16,32,48,20.454145,0.116975,1.640471
3,16,40,48,20.731960,0.153508,1.618488
3,16,48,48,20.597318,0.244228,1.629068
3,16,56,48,22.749444,3.672820,1.474956
3,16,64,48,20.865131,1.876787,1.608158
3,16,72,48,19.111785,0.087996,1.755693
3,24,24,48,20.534836,0.004010,1.634025
3,24,32,48,19.830565,0.147073,1.692056
3,24,40,48,19.746300,0.016203,1.699277
3,24,48,48,19.444947,0.038844,1.725612
3,24,56,48,19.247837,0.046250,1.743283
3,24,64,48,19.296318,0.265131,1.738903
3,24,72,48,19.162593,0.055576,1.751038
3,4,56,64,19.581418,0.087357,1.713585
3,4,64,64,19.381542,0.131758,1.731257
3,4,72,64,19.720501,0.306853,1.701500
3,8,56,64,19.454721,0.089615,1.724745
3,8,64,64,19.399099,0.120541,1.729690
3,8,72,64,19.435125,0.026201,1.726484
3,16,56,64,19.984577,0.246231,1.679016
3,16,64,64,19.515207,0.143672,1.719399
3,16,72,64,19.682765,0.131991,1.704762
3,24,56,64,19.764875,0.270858,1.697680
3,24,64,64,19.556397,0.053407,1.715778
3,24,72,64,19.451027,0.220219,1.725073
3,32,56,64,19.640293,0.077575,1.708449
3,32,64,64,19.331237,0.044381,1.735762
3,32,72,64,19.422823,0.146494,1.727578
3,40,40,64,20.030675,0.155247,1.675152
3,40,48,64,19.832932,0.166577,1.691854
3,40,56,64,19.615721,0.129256,1.710589
3,40,64,64,19.319949,0.051478,1.736776
3,40,72,64,19.370802,0.106826,1.732217
3,48,40,64,20.093610,0.218479,1.669906
3,48,48,64,19.992441,0.404334,1.678356
3,48,56,64,19.607708,0.156931,1.711288
3,48,64,64,19.496505,0.048627,1.721049
3,48,72,64,19.354644,0.114630,1.733663
3,56,40,64,19.907484,0.053054,1.685519
3,56,48,64,19.774097,0.249649,1.696888
3,56,56,64,19.115892,0.062536,1.755316
3,56,64,64,18.918615,0.102141,1.773620
3,56,72,64,18.757066,0.095401,1.788896
3,64,56,64,18.995615,0.105888,1.766430
3,64,64,64,18.836544,0.147496,1.781348
3,64,72,64,18.929286,0.027695,1.772620
3,72,56,64,19.080919,0.056169,1.758533
3,72,64,64,18.912348,0.240691,1.774208
3,72,72,64,18.831611,0.055795,1.781814
