stage,MB,NB,KB,avg_ms,sd_ms,gflops
1,32,32,16,24.824120,0.674575,1.351687
1,32,32,32,22.462599,0.503668,1.493791
1,32,32,48,23.551006,0.503919,1.424756
1,32,32,64,23.872976,0.062808,1.405540
1,32,32,96,24.729087,0.325123,1.356881
1,32,32,128,27.990212,0.043058,1.198792
2,8,8,32,28.300929,0.442631,1.185630
2,8,16,32,27.013355,0.617577,1.242142
2,8,32,32,24.776248,0.059867,1.354298
2,8,48,32,24.384398,0.106131,1.376062
2,8,64,32,23.875514,0.202207,1.405391
2,16,8,32,29.517345,0.116478,1.136770
2,16,16,32,27.033131,0.189777,1.241234
2,16,32,32,24.874970,0.225329,1.348923
2,16,48,32,25.313772,0.534951,1.325541
2,16,64,32,24.829262,0.327991,1.351407
2,32,8,32,29.621207,0.280547,1.132784
2,32,16,32,27.402758,0.200141,1.224491
2,32,32,32,24.801643,0.140763,1.352912
2,32,48,32,24.743388,0.134147,1.356097
2,32,64,32,24.779063,0.963509,1.354145
2,48,8,32,30.656563,0.345476,1.094527
2,48,16,32,26.652613,0.127181,1.258955
2,48,32,32,25.600302,0.090086,1.310705
2,48,48,32,25.085569,0.144316,1.337599
2,48,64,32,24.862337,0.489252,1.349609
2,64,8,32,29.824851,0.073261,1.125049
2,64,16,32,26.373373,0.278078,1.272284
2,64,32,32,24.916630,0.201240,1.346668
2,64,48,32,24.393998,0.027177,1.375520
2,64,64,32,24.090903,0.112478,1.392826
2,8,8,48,28.861795,0.274795,1.162590
2,8,16,48,26.939806,0.385530,1.245534
2,8,32,48,25.490203,0.577781,1.316366
2,8,48,48,25.628660,0.611118,1.309254
2,8,64,48,24.814955,0.178460,1.352186
2,16,8,48,30.294954,0.319193,1.107591
2,16,16,48,27.096755,0.239635,1.238319
2,16,32,48,25.538626,0.039647,1.313870
2,16,48,48,25.376774,0.094992,1.322250
2,16,64,48,25.059378,0.039769,1.338997
2,32,8,48,30.065596,0.356395,1.116041
2,32,16,48,27.323462,0.150132,1.228045
2,32,32,48,25.679735,0.153204,1.306650
2,32,48,48,25.422809,0.256653,1.319855
2,32,64,48,25.406728,0.275387,1.320691
2,48,8,48,30.333705,0.199919,1.106177
2,48,16,48,27.350663,0.170611,1.226823
2,48,32,48,25.964241,0.313590,1.292333
2,48,48,48,25.447761,0.202074,1.318561
2,48,64,48,25.198571,0.056559,1.331601
2,64,8,48,30.022229,0.188618,1.117653
2,64,16,48,27.412462,0.338071,1.224058
2,64,32,48,25.861358,0.053796,1.297474
2,64,48,48,25.996106,0.382180,1.290748
2,64,64,48,25.391960,0.339279,1.321459
3,4,40,32,24.024969,0.171129,1.396648
3,4,48,32,24.038283,0.372360,1.395875
3,4,56,32,23.962991,0.149329,1.400261
3,4,64,32,24.082411,0.547389,1.393317
3,4,72,32,23.890550,0.330632,1.404506
3,8,40,32,24.307844,0.067852,1.380395
3,8,48,32,24.116428,0.155954,1.391352
3,8,56,32,23.727546,0.088379,1.414155
3,8,64,32,23.634720,0.198889,1.419709
3,8,72,32,23.615825,0.030983,1.420845
3,16,40,32,24.543261,0.247984,1.367155
3,16,48,32,24.134185,0.073618,1.390328
3,16,56,32,23.883136,0.188449,1.404942
3,16,64,32,23.862359,0.321198,1.406166
3,16,72,32,24.073579,0.043694,1.393828
3,24,40,32,24.572400,0.149903,1.365533
3,24,48,32,24.544798,0.107704,1.367069
3,24,56,32,24.272834,0.010925,1.382386
3,32,40,32,24.696847,0.137930,1.358652
3,32,48,32,24.348122,0.310107,1.378112
3,32,56,32,24.057028,0.178492,1.394787
3,40,40,32,24.496974,0.342812,1.369738
3,40,48,32,24.249404,0.110141,1.383722
3,40,56,32,24.688259,0.249668,1.359125
3,56,40,32,24.908011,0.208950,1.347134
3,56,48,32,24.854203,0.296860,1.350051
3,56,56,32,24.182810,0.124264,1.387532
3,56,64,32,23.865567,0.014297,1.405977
3,56,72,32,24.290075,0.059551,1.381405
3,64,40,32,25.283135,0.098361,1.327147
3,64,48,32,24.270283,0.170436,1.382532
3,64,56,32,24.403846,0.172124,1.374965
3,64,64,32,24.214860,0.448383,1.385696
